website address,male,female,androgynous
https://www.activisionblizzard.com/board-of-directors,7,7,0
https://investors.intuit.com/Corporate-Governance/Board-of-Directors/default.aspx,8,4,0
https://www.gilead.com/about/leadership,5,4,0
https://www.bloomberg.com/research/stocks/private/board.asp?privcapId=312932093,0,0,0
https://newsroom.intel.com/biographies/board-of-directors/,7,4,0
https://www.garmin.com/en-US/company/leadership/board-of-directors/,0,2,0
https://investors.fiserv.com/corporate-governance/board-of-directors,12,5,0
https://www.henryschein.com/us-en/Corporate/BoardDirectors.aspx,46,8,1
https://www.fossilgroup.com/investors/corporate-governance/management-and-directors/,11,6,0
https://about.meta.com/media-gallery/executives/,0,0,0
https://www.express-scripts.com/corporate/leadership,1,4,0
https://investor.fastenal.com/governance/board-of-directors/default.aspx,23,2,0
https://f5.com/about-us/leadership,4,0,0
https://www.expediagroup.com/about/leadership/,14,9,1
https://investor.expeditors.com/corporate-governance/board-of-directors,7,4,0
https://corporate.dollartree.com/about/leadership/board-of-directors,12,5,0
eBay Inc. - Corporate Governance - Board of Directors,error
https://www.cognizant.com/about-cognizant/board-of-directors,5,3,0
https://investor.equinix.com/board-governance,7,4,0
