Website Name,Amount of Sub-Websites,"customer|userdialog|dialogue|conversation|feedback|call|interact|informationexchange|informationsharing|informationaccess|engage
","customer|user|forum|connect|network|networking
","lease|rent|license|selfserve|selfservice
","customer|usercooperate|cooperation|collaboration|partnership
","customer|usersuggest|suggestion|input|request|demand
","internalexpertise|resource
","customer|userriskmanage|management|control|assess|reduce|reduction|potential|exposure
","customer|userIP|intellectualproperty
","customer|userlearn|learning
","product|process|serviceevolution|evolve
","customer|userexperience
","customer|usertest|trial|beta
","integratedonlineservices
","simulation|simulate|model|modelling|virtualworld|referencedesign|referenceflow|demoapplication|toolkit|tutorial|sdk|softwaredevelopmentkit
","product|processmodularity|modular|module
","customer|userproduce|assemble|manufacture
","customer|useroptions|choice|choose
","design|processflexibility|flexible|adaptable
","customerpartnerships|interaction|relationship|participate|participation|activity|action
","costreduce|reduction|saving
","customer|usersurvey|review|voting|vote|rate|rating
","trust|honesty|integrity|transparency
","customer|userdisclose|inform|disseminate|reveal
",customer|userdashboard|statistics,new+(product|service|process|application|solution|feature|release|version|launch|introduction|introduce|new-product|new-service|new-process|new-solution|product-launch),(Gender)+((equality)|((promoting)+(balance)+(inclusion))|((equality)+(plans))|((equality)+(measures))|((promoting)+(equality))|(inequality)|(inclusive)|((equal)+(opportunities))|((ensure)+(women)+(participation))|((equal)+(opportunities)+(for)+(leadership))|((fostering)+(equality))|((equal)+(inclusion))|((equality)+(between)+(men)+(and)+(women))|((balanced)+(and)+(inclusive)+(working)+(environment))),(Gender)+(((formal)+(equality)+(policies))|((balance)+(is)+(adequately)+(promoted))|((legislation)+(and)+(strategic)+(plans)+(on)+(equality))|((legislations)+(and)+(recommendations)+(on)+(equality))|((anti)+(discrimination)+(strategy))|((mainstreaming)+(strategy))|((institutional)+(change)+(projects))|((equality)+(measures))|((equality)+(training))),(Gender)+(((related)+(strength)+(and)+(weakness))|((differences)+(between)+(men)+(and)+(women))|((does)+(not)+(take)+(into)+(account)+(differences))|((diversity)+(perspective))),(Gender)+(((representation)+(of)+(women)+(and)+(men))|((institutional)+(change))|(mainstream)|((Mainstreaming)+(Platform))),(Gender)+(((reshape)+(the)+(field))|(promoting)|(awareness-raising)|((promote)+(institutional)+(change))|((sensitive)+(institutional)+(transformation))),(Gender)+((innovation)|((participation)+(of)+(women))|((increasing)+(female)+(expertise)+(in)+(the)+(field))|((sensitive)+(research)+(innovation))|(diverse)),(Gender)+(((Participatory)+(Audit))|((Audit)+(Facilitators))|((impact)+(assessment))|((disaggregated)+(statistics))|((sensitive)+(indicators))|((gendering)+(the)+(content)+(and)+(methods)+(of)+(research))|((sex-disaggregated)+(data)+(production))|(evaluation)),(Gender)+((committees)|(advisor)|((advice)+(equality))|(expertise)|((sensitive)+(parliament))),(Gender)+(((public)+(allocations))|(budgeting)),(Gender)+((gap)|((wage)+(gap))),(Gender)+(((balance)+(report))|(composition)|((share)+(of)+(female))|((proportion)+(of)+(women))|((parity)+(indices))|((balance)+(monitoring))|((underrepresentation)+(of)+(women))|((monitoring)+(instruments))|((under-represented)+(sex))|(monitoring)|(indicators)|(ratios)),(Women)+(((empowerment)+(of)+(all)+(girls))|((needs)+(and)+(the)+(perspective))),(Gender)+(((related)+(disputes))|((based)+(discriminations))|((negative)+(stereotypes))|(disparities)|(stereotypes)|(issues)|(implications)|((stereotypical)+(roles))|((equality)+(related)+(issues))|(bias)|((unconscious)+(bias))|((science)+(stereotypes))|(blind)|((gender-based)+(offenses))|(segregated)|((based)+(mobbing)+(and)+(harassment))|((sexist)+(attitudes)+(and)+(behaviours))),(Gender)+(((inclusive)+(language))|(grammatical)|((inclusive)+(communication))|((biased)+(expressions))|((neutral)+(words))|((biased)+(language))|((traditional)+(form)+(of)+(nouns))|((neutral)+(alternative)+(for)+(nouns))|((non-discriminatory)+(language))|((feminine)+(and)+(masculine)+(pronouns))|((non-Sexist)+(Language))|((Sexist)+(language))),(Gender)+((sensitive)|(friendly)|(relevant)),(Gender)+AND+(((research)+AND+(and)+AND+(curricula))+OR+(studies))
http://www.activisionblizzard.com/,15,90,83,178,11,64,0,30,10,10,115,10,10,0,3,85,11,30,13,10,0,86,5,234,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.intuit.com/,37,273,473,95,209,217,0,265,204,204,372,204,207,0,21,300,205,207,132,17,1,392,13,265,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.gilead.com/,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.google.tn/,6,11,8,0,7,7,0,8,7,7,3,7,7,0,0,3,7,7,1,0,0,12,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.intel.fr/,4,2,30,201,0,0,0,5,0,0,416,0,0,0,2,43,0,0,5,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.garmin.com/,146,188,1712,279,167,174,0,915,164,164,963,164,165,0,3,954,165,165,299,10,0,225,2,362,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.fiserv.com/,5,13,21,10,8,7,0,15,7,7,10,7,7,0,0,4,7,7,6,7,0,60,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.henryschein.com/,29,186,394,213,138,138,0,411,126,126,546,126,138,0,11,516,128,142,65,48,2,1049,20,211,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.fossil.com/,90,0,1370,29,0,0,0,0,0,0,13,0,0,0,1,3,0,0,29,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://newsroom.fb.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.express-scripts.com/,5,4,3,6,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.fastenal.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.f5.com/,118,1021,1926,440,910,1208,0,2639,896,896,2014,896,1441,0,67,1899,897,916,80,63,3,1590,85,1434,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.expediainc.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.expeditors.com/,94,446,545,98,417,431,0,1203,404,404,189,404,405,0,143,100,407,409,175,33,7,759,32,514,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.dollartree.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.ebay.com/,176,563,1201,378,88,254,0,337,75,75,1202,75,375,0,221,870,77,321,78,97,5,1807,17,928,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.cognizant.com/,51,111,106,760,72,232,0,98,62,62,624,62,63,0,32,252,62,64,8,11,2,691,117,288,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.equinix.com/,76,1434,4441,303,1397,1345,0,1748,1310,1310,379,1310,1318,0,84,266,1312,1330,566,18,1,2575,248,1694,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.citrix.com/,1,12,19,4,19,12,0,25,12,12,12,12,12,0,0,10,12,12,0,2,0,15,1,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
