Website Name,Amount of Sub-Websites,"customer | user | dialog | dialogue | conversation | feedback | call | interact | information | exchange | information | sharing | information | access | engage
","customer | user | forum | connect | network | networking
","lease | rent | license | self | serve | self | service
","customer | user | cooperate | cooperation | collaboration | partnership
","customer | user | suggest | suggestion | input | request | demand
","internal | expertise | resource
","customer | user | risk | manage | management | control | assess | reduce | reduction | potential | exposure
","customer | user | intellectual | property
","customer | user | learn | learning
","product | process | service | evolution | evolve
","customer | user | experience
","customer | user |test | trial | beta
","integrated | online | services
","simulation | simulate | model | modelling | virtual | world | reference | design | reference | flow | demo | application | toolkit | tutorial | sdk | software | development | kit
","product | process modularity | modular | module
","customer | user | produce | assemble | manufacture
","customer | user | options | choice | choose
","design | process | flexibility | flexible | adaptable
","customer | partnerships | interaction | relationship | participate | participation | activity | action
","cost | reduce | reduction | saving
","customer | user | survey | review | voting | vote | rate | rating
","trust | honesty | integrity | transparency
","customer | user | disclose | inform | disseminate | reveal
",new product | new service | new process | new application | new solution | new feature | new release | new version | new launch | new introduction | new introduce | new new-product | new new-service | new new-process | new new-solution | new product-lauch,gender equality | gender promoting balance inclusion | equality plans | equality measures | promoting equality | in equality | inclusive | equal opportunities | ensure women participation | equal opportunities for leadership | fostering equality | equal inclusion | equality between men and women | balanced and inclusive working environment,gender formal equality policies | gender balance is adequately promoted | gender legislation and strategic plans on equality | gender legislation and recommendations on equality | gender anti discrimination strategy | gender mainstreaming strategy | gender institutional change projects | gender equality measures | gender equality training,gender related strength and weakness | gender differences between men and women | gender does not take into account differences | gender diversity perspective,gender representation of women and men | gender institutional change | gender mainstream | gender mainstreaming platform,gender reshape the field | gender promoting | gender awareness-raising | gender promote institutional change | gender sensitive institutional transformation,gender innovation | gender participation of women | gender increasing female expertise in the field | gender sensitive research innovation | gender diverse,gender participatory audit | gender audit facilitators | gender impact assessment | gender disaggregated statistics | gender sensitive indicators | gender gendering the content and methods of research | gender sex-disaggregated data production | gender evaluation,gender committees | gender advisor | gender advice equality | gender experstise | gender sensitive parliament,gender public allocations | gender budgeting,gender gap | gender wage gap,gender balance report | gender composition | gender share of female | gander proportion of women | gender parity indices | gender balance monitoring | gender underrepresentation of women | gender monitoring instruments | gender under-represented sex | gender monitoring | gender indicators | gender ratios,women empowerment of all girls | women needs and the perspective,gender related disputes | gender based discriminations | gender negative stereotypes | gender disparities | gender stereotypes | gender issues | gender implications | gender stereotypical roles | gender equality related issues | gender bias | gender unconscious bias | gender science stereotypes | gender blind | gender gender-based offenses | gender segregated | gender based mobbing and harassment | gender sexist attitudes and bahaviours,gender inclusive language | gender grammatical | gender inclusive communication | gender biased expressions | gender neutral words | gender biased language | gender traditional form of nouns | gender neutral alternative for nouns | gender non-discriminatory language | gender feminine and masculine pronouns | gender non-sexist language | gender sexist language,gender sensitive | gender friendly | gender relevant,gender research and curricula | gender studies
http://group.accor.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.airliquide.com/,1,4,2,0,2,2,0,3,2,2,0,2,2,1,7,0,2,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.airbus.com/,1,3,3,1,1,1,0,6,1,1,4,1,3,0,8,4,1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://corporate.arcelormittal.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://atos.net/,193,3284,1485,959,1825,1396,297,2540,1397,1512,867,1388,2014,1013,1884,95,1392,1594,1155,1192,203,1487,264,1395,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.axa.com/,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://group.bnpparibas/en/,2,5,3,3,3,3,7,5,3,4,9,3,4,3,14,3,3,3,1,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.bouygues.com/en/,91,381,67,159,30,127,52,236,27,35,45,26,40,222,448,8,30,29,57,41,51,110,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.capgemini.com/,104,1077,799,413,678,679,48,2147,666,2024,127,660,1132,17,537,38,662,669,105,658,51,693,21,671,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.carrefour.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://credit-agricole.com/,11,7,0,0,0,0,1,5,0,0,12,0,0,0,0,0,0,0,0,6,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.danone.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.3ds.com/,13,44,21,6,17,16,6,25,14,27,16,14,22,2,114,12,15,15,23,13,11,14,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://engie.com/en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://essilor.com/,71,355,12,221,12,10,43,67,10,7,107,5,524,53,302,85,10,10,17,20,18,91,4,10,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
